id,season,pick_overall,player,position,college,notes,hall_of_fame,college_player_count,position_player_count
34,1988,No pick,Pick traded to Los Angeles Rams [ Q ],,,,1,7,7
35,1989,No pick,Pick traded to Los Angeles Rams [ Q ],,,,1,7,7
44,1998,No pick,Pick traded to Jacksonville Jaguars [ R ],,,,1,7,7
52,2005,No pick,Pick traded to Dallas Cowboys [ V ],,,,1,7,7
64,2015,No pick,Pick traded to Cleveland Browns [ Y ],,,,1,7,7
70,2020,No pick,Pick traded to Minnesota Vikings [ AD ],,,,1,7,7
74,2024,No pick,Moved down draft order in trades with Kansas City Chiefs [ AG ] and Carolina Panthers [ AH ],,,,1,7,7
60,2011,3,Marcell Dareus,DT,Alabama,,0,1,5
38,1992,27,John Fina,T,Arizona,,0,1,5
46,2000,26,Erik Flowers,DE,Arizona State,,0,3,7
8,1967,22,John Pitts,S,Arizona State,,0,3,2
12,1971,4,J. D. Hill,WR,Arizona State,,0,3,7
2,1961,1,Ken Rice *,T,Auburn,,0,1,5
55,2007,12,Marshawn Lynch,RB,California,,0,1,10
65,2016,19,Shaq Lawson,DE,Clemson,,0,5,7
59,2010,9,C. J. Spiller,RB,Clemson,,0,5,10
22,1979,5,Jerry Butler,WR,Clemson,,0,5,7
25,1982,19,Perry Tuttle,WR,Clemson,Moved up draft order in trade with Denver Broncos [ H ],0,5,7
63,2014,4,Sammy Watkins,WR,Clemson,Moved up draft order in trade with Cleveland Browns [ Y ],0,5,7
72,2022,23,Kaiir Elam,CB,Florida,Moved up draft order in trade with Baltimore Ravens [ AE ],0,1,4
62,2013,16,EJ Manuel,QB,Florida State,Moved down draft order in trade with St. Louis Rams [ X ],0,1,5
36,1990,16,James Williams,DB,Fresno State,,0,1,9
69,2019,9,Ed Oliver,DT,Houston,,0,2,5
43,1997,23,Antowain Smith,RB,Houston,,0,2,10
37,1991,26,Henry Jones,DB,Illinois,,0,1,9
31,1986,16,Ronnie Harmon,RB,Iowa,Pick received from Cleveland Browns [ M ],0,1,10
75,2025,30,Maxwell Hairston,CB,Kentucky,,0,1,4
66,2017,27,Tre'Davious White,CB,LSU,Moved down draft order in trade with Kansas City Chiefs [ Z ],0,1,4
58,2009,28,Eric Wood,C,Louisville,,0,1,3
30,1985,14,Derrick Burroughs,DB,Memphis State,Pick received from Green Bay Packers [ N ],0,1,9
71,2021,30,Greg Rousseau,DE,Miami (FL),,0,3,7
27,1983,14,Jim Kelly †,QB,Miami (FL),Picked received from Cleveland Browns . [ I ] Signed for the USFL 's Houston Gamblers instead. [ J ],1,3,5
49,2003,23,Willis McGahee,RB,Miami (FL),Pick received from Atlanta Falcons . [ T ] Original pick traded to New England Patriots . [ U ],0,3,10
14,1973,7,Paul Seymour,TE,Michigan,,0,1,4
4,1963,4,Dave Behrman,C,Michigan State,,0,2,3
15,1973,26,Joe DeLamielleure †,G,Michigan State,Pick received from Miami Dolphins [ B ],1,2,2
5,1964,5,Carl Eller †,DE,Minnesota,Signed for the NFL's Minnesota Vikings instead [ 24 ],1,1,7
42,1996,24,Eric Moulds,WR,Mississippi State,,0,1,7
23,1980,16,Jim Ritcher,C,N.C. State,Moved down draft order in trade with Seattle Seahawks [ F ],0,2,3
54,2006,26,John McCargo,DT,N.C. State,Moved up draft order in trade with Chicago Bears [ W ],0,2,5
17,1975,19,Tom Ruud,LB,Nebraska,,0,1,4
39,1993,28,Thomas Smith,DB,North Carolina,,0,1,9
40,1994,27,Jeff Burris,DB,Notre Dame,,0,4,9
13,1972,1,Walt Patulski *,DE,Notre Dame,,0,4,7
28,1984,26,Greg Bell,RB,Notre Dame,Moved down draft order in trade with Miami Dolphins [ K ],0,4,10
26,1983,12,Tony Hunter,TE,Notre Dame,,0,4,4
45,1999,23,Antoine Winfield,DB,Ohio State,,0,5,9
47,2001,21,Nate Clements,DB,Ohio State,Moved down draft order in trade with Tampa Bay Buccaneers [ S ],0,5,9
21,1979,1,Tom Cousineau *,LB,Ohio State,Pick received from San Francisco 49ers [ E ],0,5,4
53,2006,8,Donte Whitner,S,Ohio State,,0,5,2
6,1965,8,Jim Davidson,T,Ohio State,,0,5,5
19,1977,12,Phil Dokes,DT,Oklahoma State,Pick received from Detroit Lions . [ C ] Original pick traded to Cincinnati Bengals . [ D ],0,3,5
20,1978,5,Terry Miller,RB,Oklahoma State,,0,3,10
16,1974,18,Reuben Gant,TE,Oklahoma State,,0,3,4
7,1966,8,Mike Dennis,RB,Ole Miss,Signed for the NFL's Los Angeles Rams instead [ 26 ],0,1,10
18,1976,18,Mario Clark,DB,Oregon,,0,1,9
57,2009,11,Aaron Maybin,DE,Penn State,,0,4,7
33,1987,8,Shane Conlan,LB,Penn State,Moved down draft order in trade with Houston Oilers [ P ],0,4,4
1,1960,Territorial,Richie Lucas,QB,Penn State,First round was territorial selections [ A ],0,4,5
24,1981,28,Booker Moore,RB,Penn State,Moved down draft order in trade with Los Angeles Raiders [ G ],0,4,10
41,1995,14,Ruben Brown,G,Pittsburgh,,0,1,2
9,1968,9,Haven Moses,WR,San Diego State,,0,1,7
61,2012,10,Stephon Gilmore,CB,South Carolina,,0,1,4
3,1962,4,Ernie Davis,HB,Syracuse,Signed for the NFL's Cleveland Browns instead [ 25 ],0,1,1
48,2002,4,Mike Williams,T,Texas,,0,1,5
56,2008,11,Leodis McKelvin,DB,Troy,,0,1,9
51,2004,22,J. P. Losman,QB,Tulane,Moved up draft order in trade with Dallas Cowboys [ V ],0,1,5
11,1970,5,Al Cowlings,DT,USC,,0,2,5
10,1969,1,O. J. Simpson ‡,RB,USC,,1,2,10
73,2023,25,Dalton Kincaid,TE,Utah,Moved up draft order in trade with Jacksonville Jaguars [ AF ],0,1,4
32,1986,20,Will Wolford,T,Vanderbilt,Moved up draft order in trade with San Francisco 49ers [ O ],0,1,5
29,1985,1,Bruce Smith ‡,DE,Virginia Tech,,1,2,7
68,2018,16,Tremaine Edmunds,LB,Virginia Tech,Moved up draft order in trade with Baltimore Ravens [ AC ],0,2,4
50,2004,13,Lee Evans,WR,Wisconsin,,0,1,7
67,2018,7,Josh Allen,QB,Wyoming,Moved up draft order in trade with Tampa Bay Buccaneers [ AB ],0,1,5
